id,station_cd,alias_cd
1,2100201,1
2,2100202,1
3,2100203,1
4,2100204,1
5,2100205,1
6,2100206,1
7,2100207,1
8,2100208,1
9,2100209,1
10,2100210,1
11,2100211,1
12,2100212,1
13,2100213,1
14,2100214,1
15,2100215,1
16,2100216,1
17,2100217,1
18,2100218,1
19,2100219,1
20,2100220,1
21,2100221,1
22,2100222,1
23,2100223,1
24,2100224,1
25,2100225,1
26,2100226,1
27,2100227,1
28,2100228,1
29,2100229,1
30,2100230,1
31,1192401,3
32,1192402,3
33,1192412,3
34,1192403,3
35,1192404,3
36,1192405,3
37,1192406,3
38,1192407,3
39,1192408,3
40,1192409,3
41,1192410,3
42,1192411,3
43,2900306,5
44,2900307,5
45,2900308,5
46,2900303,6
47,2900304,6
48,2900305,6
49,1131411,7
50,1131412,7
51,1131413,7
52,1131414,7
53,1131415,7
54,1131416,7
55,1131417,7
56,1131418,7
57,1131419,7
58,1131420,7
59,1131421,7
60,1131422,7
61,1131423,7
62,1131424,7
63,1131425,7
64,1131426,7
65,1131427,7
66,1131428,7
67,1131429,7
68,1131430,7
69,1131431,7
70,9964601,9
71,9964602,9
72,9964603,9
73,9964604,9
74,9964605,9
75,9964606,9
76,9964607,9
77,9964608,9
78,9964501,9
79,9964502,9
80,9964503,9
81,9964504,9
82,9964505,9
83,9964506,9
84,9964507,9
85,9964508,9
86,9964509,9
87,1141140,10
88,1131153,11
89,1131401,12
90,1131402,12
91,1131403,12
92,1131404,12
93,1131405,12
94,1131406,12
95,1131407,12
96,1131408,12
97,1131409,12
