id,type_cd,type_name,type_name_k,type_name_r,type_name_zh,type_name_ko,color,direction,kind,top_priority,#メモ,#着手済
1,1,のぞみ,ノゾミ,Nozomi,希望,노조미,#FFD400,0,4,0,,COMPLETE
2,2,ひかり,ヒカリ,Hikari,光,히카리,#FF0000,0,4,0,,COMPLETE
3,3,こだま,コダマ,Kodama,回声,고다마,#3050FF,0,4,0,,COMPLETE
4,4,みずほ,ミズホ,Mizuho,瑞穗,미즈호,#FFA500,0,4,0,,COMPLETE
5,5,さくら,サクラ,Sakura,樱,사쿠라,#FF69B4,0,4,0,,COMPLETE
6,6,つばめ,ツバメ,Tsubame,燕,쓰바메,#40E0D0,0,4,0,,COMPLETE
7,7,はやぶさ,ハヤブサ,Hayabusa,隼,하야부사,#008000,0,4,0,,COMPLETE
8,8,はやて,ハヤテ,Hayate,疾风,하야테,#008000,0,4,0,,COMPLETE
9,9,やまびこ,ヤマビコ,Yamabiko,山彦,야마비코,#008001,0,4,0,,COMPLETE
10,10,なすの,ナスノ,Nasuno,那须野,나스노,#008002,0,4,0,,COMPLETE
11,11,こまち,コマチ,Komachi,小町,고마치,#FF0080,0,4,0,,COMPLETE
12,12,つばさ,ツバサ,Tsubasa,翼,쓰바사,#FF8000,0,4,0,,COMPLETE
13,13,とき,トキ,Toki,朱鹭,도키,#008000,0,4,0,,COMPLETE
14,14,たにがわ,タニガワ,Tanigawa,谷川,다니가와,#0000FF,0,4,0,,COMPLETE
15,15,かがやき,カガヤキ,Kagayaki,光辉,가가야키,#FFD400,0,4,0,,COMPLETE
16,16,はくたか,ハクタカ,Hakutaka,白鹰,하쿠타카,#FF0000,0,4,0,,COMPLETE
17,17,あさま,アサマ,Asama,浅间,아사마,#0000FF,0,4,0,,COMPLETE
18,18,つるぎ,ツルギ,Tsurugi,剑,쓰루기,#3050FF,0,4,0,,COMPLETE
19,19,かもめ,カモメ,KAMOME,海鸥,카모메,#E10017,0,4,0,,COMPLETE
20,100,普通,フツウ,Local,慢车,보통,#1F63C6,0,0,0,,PARTIAL
21,101,各駅停車,カクエキテイシャ,Local,每站停车,각역정차,#1F63C6,0,0,0,,PARTIAL
22,102,快速,カイソク,Rapid,快车,쾌속,#DC143C,0,2,0,,PARTIAL
23,103,特別快速,トクベツカイソク,Special Rapid,特别快车,특별쾌속,#DC143C,0,2,0,,COMPLETE
24,104,通勤快速,ツウキンカイソク,Commuter Rapid,通勤快车,통근쾌속,#DC143C,0,2,0,,COMPLETE
25,105,快速(赤),カイソク(アカ),Rapid(Red),快车,쾌속,#FF0000,0,2,0,,NOT
26,106,快速(緑),カイソク(ミドリ),Rapid(Green),快车,쾌속,#00FF00,0,2,0,,NOT
27,107,ホームライナー,ホームライナー,Home Liner,家用班轮,홈 라이너,#DC143C,0,2,0,,NOT
28,108,区間快速,クカンカイソク,Regional Rapid,区域快车,구간쾌속,#DC143C,0,2,0,,PARTIAL
29,109,快速みえ,カイソクミエ,Rapid Mie,快速三重,쾌속미에,#DC143C,0,2,0,,COMPLETE
30,110,新快速,シンカイソク,Special Rapid,新快速,새쾌속,#0071BE,0,2,0,JR西日本用,COMPLETE
