line_cd,company_cd,line_name,line_name_k,line_name_h,line_name_r,line_name_rn,line_name_zh,line_name_ko,line_color_c,line_color_t,line_type,line_symbol1,line_symbol2,line_symbol3,line_symbol4,line_symbol1_color,line_symbol2_color,line_symbol3_color,line_symbol4_color,line_symbol1_shape,line_symbol2_shape,line_symbol3_shape,line_symbol4_shape,lon,lat,zoom,e_status,e_sort,average_distance
11112,1,札沼線,サッショウセン,札沼線,Sassho Line,Sassho Line,札沼线,삿쇼선,00A54F,緑,2,G,S,,,#00A54F,#ED1C23,#00A54F,,ROUND,ROUND,MONOCHROME_ROUND,,141.65751006094,43.330448776432,10,0,11112,2531.958291
11113,1,留萌本線,ルモイホンセン,留萌本線,Rumoi Main Line,Rumoi Main Line,留萌本线,루모이 본선,808080,グレー,2,,,,,,,,,,,,,141.76379195252,43.847331167088,10,2,11113,2874.037803
11114,1,富良野線,フラノセン,富良野線,Furano Line,Furano Line,富良野线,후라노선,AA5EA6,紫,2,F,A,T,,#AA5EA6,#F7931D,#F6989D,,ROUND,ROUND,ROUND,,142.42933338108,43.609838391366,10,0,11114,3072.789415
11115,1,宗谷本線,ソウヤホンセン,宗谷本線,Soya Main Line,Soya Main Line,宗谷本线,소야 본선,954A35,茶,2,W,A,,,#954A35,#F7931D,,,ROUND,ROUND,,,142.22561395814,44.658729695622,8,0,11115,4461.575335
11116,1,石北本線,セキホクホンセン,石北本線,Sekihoku Main Line,Sekihoku Main Line,石北本线,세키호쿠 본선,F7931D,オレンジ,2,A,,,,#F7931D,,,,ROUND,,,,143.36294609598,43.961387698578,8,0,11116,5252.656626
11117,1,釧網本線,センモウホンセン,釧網本線,Senmo Main Line,Senmo Main Line,钏网本线,센모 본선,EF59A1,ピンク,2,B,A,K,,#EF59A1,#F7931D,#8CC63E,,ROUND,ROUND,ROUND,,144.43376556585,43.523739013019,9,0,11117,5772.780945
11118,1,海峡線,カイキョウセン,海峡線,Kaikyo Line,Kaikyo Line,海峡线,가이쿄선,808080,グレー,2,,,,,,,,,,,,,140.32904703906,41.366574565662,9,0,11118,16975.02816
11119,1,江差線,エサシセン,江差線,Esashi Line,Esashi Line,江差线,에사시선,808080,グレー,2,,,,,,,,,,,,,140.4168208244,41.775381897709,10,2,11119,4288.948441
11201,2,東北本線,トウホクホンセン,東北本線,Tohoku Main Line,Tohoku Main Line,东北本线,도호쿠 본선,3CB371,グリーン,2,,,,,,,,,,,,,141.14722775977,40.697918524408,10,2,11201,0
11202,2,奥羽本線,オウウホンセン,奥羽本線,Ou Main Line,Ou Main Line,奥羽本线,오우 본선,FF6600,オレンジ,2,,,,,,,,,,,,,140.44271734754,39.922270662794,8,0,11202,4811.431983
11231,2,東北本線,トウホクホンセン,東北本線,Tohoku Main Line,Tohoku Main Line,东北本线,도호쿠 본선,3CB371,グリーン,2,,,,,,,,,,,,,140.89812487013,38.461424036781,8,0,11202,4293.330798
