company_cd,rr_cd,company_name,company_name_k,company_name_h,company_name_r,company_name_en,company_name_full_en,company_url,company_type,e_status,e_sort
154,99,富士急行,フジキュウコウ,富士急行株式会社,富士急,FUJI KYUKO,FUJI KYUKO,http://www.fujikyu.co.jp/,0,0,154
155,99,北越急行,ホクエツキュウコウ,北越急行株式会社,北越急行,Hokuetsu Express,Hokuetsu Express,http://www.hokuhoku.co.jp/,0,0,155
156,99,しなの鉄道,シナノテツドウ,しなの鉄道株式会社,しな鉄,Shinano Railway,Shinano Railway,http://www.shinanorailway.co.jp/,0,0,156
157,99,上田交通,ウエダコウツウ,上田交通株式会社,上田交通,Ueda Kotsu,Ueda Kotsu,http://www.ukg.co.jp/,0,0,157
158,99,長野電鉄,ナガノデンテツ,長野電鉄株式会社,長野電鉄,Nagano Electric Railway,Nagano Electric Railway,http://www.nagaden-net.co.jp/,0,0,158
159,99,アルピコ交通,アルピココウツウ,アルピコ交通株式会社,アルピコ交通,ALPICO kotsu,ALPICO kotsu,http://www.alpico.co.jp/traffic/,0,0,159
160,99,富山地方鉄道,トヤマチホウテツドウ,富山地方鉄道株式会社,富山地鉄,TOYAMACHIHO RAILROAD,TOYAMACHIHO RAILROAD,http://www.chitetsu.co.jp/,0,0,160
161,99,神岡鉄道,カミオカテツドウ,神岡鉄道株式会社,神鉄,Kamioka Railway,Kamioka Railway,,0,2,161
163,99,万葉線,マンヨウセン,万葉線株式会社,万葉線,Manyo,Manyo,http://www1.coralnet.or.jp/manyosen/,0,0,161
162,99,黒部峡谷鉄道,クロベキョウコクテツドウ,黒部峡谷鉄道株式会社,黒鉄,THE KUROBE GORGE RAILWAY,THE KUROBE GORGE RAILWAY,http://www.kurotetu.co.jp/,0,0,162
164,99,富山ライトレール,トヤマライトレール,富山ライトレール株式会社,富山ライトレール,Toyama Light Rail,Toyama Light Rail,http://www.t-lr.co.jp/,0,0,162
165,99,北陸鉄道,ホクリクテツドウ,北陸鉄道株式会社,北鉄,Hokuriku Railroad,Hokuriku Railroad,http://www.hokutetsu.co.jp/,0,0,163
244,99,えちごトキめき鉄道,エチゴトキメキテツドウ,えちごトキめき鉄道株式会社,トキてつ,Echigo TOKImeki Railway,Echigo TOKImeki Railway,https://www.echigo-tokimeki.co.jp/,0,0,163
245,99,あいの風とやま鉄道,アイノカゼトヤマテツドウ,あいの風とやま鉄道株式会社,あいてつ,Ainokaze Toyama Railway,Ainokaze Toyama Railway,http://ainokaze.co.jp/,0,0,163
246,99,IRいしかわ鉄道,アイアールイシカワテツドウ,IRいしかわ鉄道株式会社,いしてつ,IR Ishikawa Railway,IR Ishikawa Railway,http://www.ishikawa-railway.jp,0,0,163
166,99,のと鉄道,ノトテツ,のと鉄道株式会社,のと鉄,Noto Railway,Noto Railway,http://www.incl.ne.jp/ntr/,0,0,164
167,99,えちぜん鉄道,エチゼンテツドウ,えちぜん鉄道株式会社,えち鉄,Echizen Railway,Echizen Railway,http://www.echizen-tetudo.co.jp/,0,0,165
168,99,福井鉄道,フクイテツドウ,福井鉄道株式会社,福鉄,FUKUI RAILWAY,FUKUI RAILWAY,http://www.fukutetsu.jp/,0,0,166
169,99,伊豆急行,イズキュウコウ,伊豆急行株式会社,伊豆急,IZUKYU,IZUKYU,http://www.izukyu.co.jp/,0,0,167
170,99,岳南鉄道,ガクナンテツドウ,岳南鉄道株式会社,岳南鉄道,Gakunan Railway,Gakunan Railway,http://www.fujikyu.co.jp/gakunan/,0,0,168
171,99,静岡鉄道,シズオカテツドウ,静岡鉄道株式会社,静鉄,Shizuoka Railway,Shizuoka Railway,http://www.shizutetsu.co.jp/,0,0,169
172,99,天竜浜名湖鉄道,テンリュウハマナコテツドウ,天竜浜名湖鉄道株式会社,天竜浜名湖鉄道,Tenryu Hamanako Railroad,Tenryu Hamanako Railroad,http://www.tenhama.co.jp/,0,0,170
173,99,遠州鉄道,エンシュウテツドウ,遠州鉄道株式会社,遠鉄,Enshu Railway,Enshu Railway,http://www.entetsu.co.jp/,0,0,171
174,99,大井川鐵道,オオイガワテツドウ,大井川鐵道株式会社,大鐵,Ōigawa Railway,Ōigawa Railway,http://www.oigawa-railway.co.jp/,0,0,172
175,99,名古屋臨海高速鉄道,ナゴヤリンカイコウソクテツドウ,名古屋臨海高速鉄道株式会社,名臨高,Nagoya Rinkai Rapid Transit,Nagoya Rinkai Rapid Transit,http://www.aonamiline.co.jp/,0,0,173
176,99,東海交通事業,トウカイコウツウジギョウ,株式会社東海交通事業,東海交通事業,Tokai Transport Service Company,Tokai Transport Service Company,http://www.tkj-i.co.jp/,0,0,174
177,99,愛知環状鉄道,アイチカンジョウテツドウ,愛知環状鉄道株式会社,愛環,Aichi Loop,Aichi Loop,http://www.aikanrailway.co.jp/,0,0,175
178,99,愛知高速交通,アイチコウソクコウツウ,愛知高速交通株式会社,愛知高速交通,Aichi Rapid Transit,Aichi Rapid Transit,http://www.linimo.jp/,0,0,176
179,99,名古屋市交通局,ナゴヤシコウツウキョク,名古屋市交通局,名古屋市営地下鉄,Transportation Bureau City of Nagoya,Transportation Bureau City of Nagoya,http://www.kotsu.city.nagoya.jp/,0,0,177
180,99,桃花台新交通,トウカダイシンコウツウ,桃花台新交通株式会社,桃花台新交通,Tokadai New Transit,Tokadai New Transit,,0,2,178
181,99,豊橋鉄道,トヨハシテツドウ,豊橋鉄道株式会社,豊鉄,Toyohashi Railroad,Toyohashi Railroad,http://www.toyotetsu.com/,0,0,179
182,99,名古屋ガイドウェイバス,ナゴヤガイドウェイバス,名古屋ガイドウェイバス株式会社,名古屋ガイドウェイバス,Nagoya GuideWay-Bus,Nagoya GuideWay-Bus,http://www.guideway.co.jp/,0,0,180
183,99,明知鉄道,アケチテツドウ,明知鉄道株式会社,明知鉄道,Akechi railroad,Akechi railroad,http://www.aketetsu.co.jp/,0,0,181
184,99,長良川鉄道,ナガラガワテツドウ,長良川鉄道株式会社,長鉄,Nagaragawa Railway,Nagaragawa Railway,http://www.nagatetsu.co.jp/,0,0,182
185,99,樽見鉄道,タルミテツドウ,樽見鉄道株式会社,樽鉄,TARUMI-RAILWAY,TARUMI-RAILWAY,http://tarumi-railway.com/,0,0,183
186,99,三岐鉄道,サンギテツドウ,三岐鉄道株式会社,三岐鉄道,SANGI Railway,SANGI Railway,http://www.sangirail.co.jp/,0,0,184
187,99,伊勢鉄道,イセテツドウ,伊勢鉄道株式会社,伊勢鉄道,Ise Railway,Ise Railway,http://www.isetetu.co.jp/,0,0,185
188,99,伊賀鉄道,イガテツドウ,伊賀鉄道株式会社,伊賀鉄道,Iga Railway,Iga Railway,http://www.igatetsu.co.jp/,0,0,186
189,99,養老鉄道,ヨウロウテツドウ,養老鉄道株式会社,養老鉄道,Yoro Railway,Yoro Railway,http://www.yororailway.co.jp/,0,0,187
247,99,四日市あすなろう鉄道,ヨッカイチアスナロウテツドウ,四日市あすなろう鉄道株式会社,あすてつ,Yokkaichi Asunarou Railway,Yokkaichi Asunarou Railway,,0,0,187
190,99,近江鉄道,オウミテツドウ,近江鉄道株式会社,近江鉄道,OHMI Railway,OHMI Railway,http://www.ohmitetudo.co.jp/,0,0,188
191,99,信楽高原鐵道,シガラキコウゲンテツドウ,信楽高原鐵道株式会社,信楽高原鐵道,Shigaraki Kohgen Railway,Shigaraki Kohgen Railway,http://www.biwa.ne.jp/skr/,0,0,189
192,99,嵯峨野観光鉄道,サガノカンコウテツドウ,嵯峨野観光鉄道株式会社,嵯峨野トロッコ,Sagano Scenic Railway,Sagano Scenic Railway,http://www.sagano-kanko.co.jp/,0,0,190
193,99,叡山電鉄,エイザンデンテツ,叡山電鉄株式会社,叡電,Eizan Electric Railway,Eizan Electric Railway,http://eizandensha.co.jp/,0,0,191
194,99,京都丹後鉄道,キョウトタンゴテツドウ,WILLER TRAINS株式会社,丹鉄,Tantetsu,Kyoto Tango Railway,http://travel.willer.co.jp/campaign/tantetsu/,0,0,192
