station_cd1,station_cd2,distance
1120707,1120708,2498.185556
1120708,1120709,3603.974668
1120801,1120802,4000.288763
1120802,1120803,6429.607216
1120803,1120804,3456.103222
1120804,1120805,3339.570479
1120805,1120806,1851.410718
1120806,1120807,1862.124611
1120807,1120808,4258.635639
1120808,1120809,8161.810596
1120809,1120810,3448.171906
1120810,1120811,3900.522713
1120811,1120812,2074.819433
1120812,1120813,4121.752174
1120813,1120814,6111.026518
1120901,1120902,3027.055331
1120902,1120903,2769.541163
1120903,1120904,1832.689604
1120904,1120905,4339.576085
1120905,1120906,2873.273052
1120906,1120907,5398.114212
1120907,1120908,2752.787946
1120908,1120909,5610.386307
1120909,1120910,1796.271635
1120910,1120911,2746.590701
1120911,1120912,2810.115364
1120912,1120913,1875.615215
1120913,1120914,4667.534555
1120914,1120915,4041.288579
1120915,1120916,3314.837037
1120916,1120917,2374.337719
1120917,1120918,4465.857092
1120918,1120919,3392.578791
1120919,1120920,5325.497903
1120920,1120921,4902.970769
1120921,1120922,3604.96999
1120922,1120923,3151.393783
1120923,1120924,3271.368359
1121001,1121002,1700.696415
1121002,1121003,3126.637918
1121003,1121004,3135.22888
1121004,1121005,3736.824681
1121005,1121006,2161.73672
1121006,1121007,3613.275546
1121007,1121008,2082.889769
1121008,1121009,6556.341786
1121009,1121010,5563.467299
1121010,1121011,3634.942329
1121011,1121012,4256.129867
1121012,1121013,4995.567349
1121013,1121015,2888.365663
1121015,1121017,6189.597682
1121101,1121118,3308.319044
1121102,1121103,4082.9335
1121103,1121104,4845.790189
1121104,1121105,2682.529034
1121105,1121106,3282.358167
1121106,1121107,15965.61167
1121107,1121108,4378.176662
1121108,1121109,7530.857379
1121109,1121110,2535.670477
1121110,1121111,3440.771794
1121111,1121112,2808.485515
1121112,1121113,2916.957527
1121113,1121114,3157.107395
1121114,1121115,2402.243026
1121115,1121116,1797.169386
1121116,1121117,3070.75552
1121118,1121102,2474.64609
1121201,1121202,4143.734726
1121202,1121203,3775.929657
1121203,1121204,4331.336976
1121204,1121205,1315.72205
1121205,1121206,2767.366156
1121206,1121207,6248.759377
1121207,1121208,4024.46295
1121208,1121209,3428.668999
1121209,1121210,3380.667984
1121210,1121211,2171.548791
1121211,1121212,7928.868684
1121212,1121213,5840.67585
1121213,1121214,3713.502941
1121214,1121215,3806.238943
1121215,1121216,1979.355645
1121216,1121217,3393.779854
1121217,1121218,4702.989292
1121218,1121219,3170.42078
1121219,1121220,4077.326123
1121220,1121221,2207.726742
1121221,1121222,1903.407895
1121222,1121223,2780.802216
1121223,1121224,2485.146655
1121224,1121225,6111.782582
1121225,1121226,4352.605773
1121226,1121227,2457.994019
1121301,1121302,1468.607857
1121302,1121303,2073.131029
1121303,1121304,4161.623182
1121304,1121307,16267.66456
1121307,1121308,7594.558517
1121308,1121310,13756.16795
1121310,1121311,3574.631836
1121311,1121312,5260.813057
1121312,1121313,7420.682701
1121313,1121314,3266.500132
1121314,1121315,3534.248718
1121315,1121316,1928.404365
1121316,1121317,4392.039804
1121317,1121318,3056.49517
1121401,1121402,5361.381047
1121402,1121403,4028.636578
1121403,1121404,3753.114077
1121404,1121405,3846.437773
1121405,1121406,3673.958951
1121406,1121407,4551.417254
1121407,1121408,4129.8258
1121408,1121409,5194.967547
1121409,1121410,3604.201804
1121410,1121411,5657.794452
1121411,1121412,3186.843717
1121412,1121413,3604.269012
1121413,1121414,3722.963612
1121414,1121415,4040.626398
1121415,1121416,6018.132599
1121416,1121417,4785.059301
1121417,1121418,6593.22282
1121418,1121419,3964.936656
1121419,1121420,4680.885435
1121420,1121421,5207.582901
1121421,1121422,2793.993924
1121422,1121423,4941.321361
1121423,1121424,4154.685282
1121424,1121425,4219.830431
1121425,1121426,5711.04181
1121426,1121427,3800.739216
1121427,1121428,2210.68822
1121428,1121429,5256.326049
1121429,1121430,4517.829938
1121430,1121431,5845.639128
1121431,1121432,6006.391372
1121432,1121433,4906.25148
1121433,1121434,3653.775995
1121434,1121435,2593.003025
1121435,1121436,3070.94413
1121436,1121437,3083.013835
1121437,1121438,3033.824761
1121438,1121439,6032.126257
1121439,1121440,2525.790651
1121440,1121441,3222.709868
1121441,1121442,6414.824442
1121442,1121443,3211.048627
1121443,1121444,4315.807686
1121444,1121445,3366.341416
1121445,1121446,4780.999978
1121446,1121447,5602.893255
1121447,1121448,5319.203315
1121448,1121449,7919.87965
1121449,1121450,5517.144564
1121450,1121451,6754.001336
1121451,1121452,3813.701144
1121452,1121453,3096.4329
1121453,1121454,5769.478356
1121454,1121455,1679.461652
1121455,1121456,6597.585105
1121456,1121457,3100.699045
1121457,1121458,3792.997235
1121458,1121459,3192.89968
1121459,1121460,2593.297043
1121501,1121502,4786.189847
1121502,1121503,3237.741383
1121503,1121504,2016.944242
1121504,1121505,2764.377782
1121505,1121506,1581.584514
1121506,1121507,3948.868506
1121507,1121508,3666.301945
1121508,1121509,2498.858824
1121601,1121602,3245.296397
1121602,1121603,3244.365517
1121603,1121605,11551.93293
1121605,1121606,2886.165298
1121606,1121607,4556.217848
1121607,1121608,5320.81839
1121608,1121609,5229.660855
1121609,1121610,5108.854805
1121610,1121611,4338.089609
1121611,1121612,6088.26989
1121612,1121613,7021.984122
1121613,1121614,3656.713986
1121614,1121615,6141.901128
1121615,1121616,2713.452287
1121616,1121617,3874.655925
1121617,1121618,5130.146696
1121618,1121619,2032.10064
1121619,1121620,2518.12596
1121620,1121621,1736.953929
1121621,1121622,1318.230069
1121622,1121623,2051.225503
1121623,1121636,1442.818195
1121624,1121625,2996.630392
1121625,1121626,2873.73767
1121626,1121627,1763.450396
1121627,1121628,2548.163962
1121628,1121629,2917.308237
1121629,1121630,7913.062378
1121630,1121631,5469.742619
1121631,1121632,3743.847631
1121632,1121633,2995.925015
1121633,1121634,5612.467616
1121634,1121635,7927.908074
1121636,1121624,1954.965606
1121701,1121702,1956.129462
1121702,1121703,1557.851432
1121703,1121704,1624.465649
1121704,1121722,957.8687477
1121705,1121706,1463.773295
1121706,1121707,2560.933359
1121707,1121708,2484.606618
1121708,1121709,5214.06872
1121709,1121710,2906.783385
1121710,1121712,4751.184646
1121712,1121714,3457.480704
1121714,1121715,8536.405171
1121715,1121716,6044.492687
1121716,1121717,3496.175617
1121717,1121718,2228.428515
1121718,1121719,2951.571766
1121719,1121720,2518.12596
1121720,1121721,2032.10064
1121722,1121705,1021.69197
1121801,1121802,2032.10064
1121802,1121803,2902.004632
1121803,1121804,3355.666267
1121804,1121805,2896.521395
1121805,1121806,1364.339619
1121806,1121807,2592.272026
1121807,1121808,1854.20709
1121808,1121809,1044.049278
1121809,1121810,2528.629489
1121810,1121811,2717.993967
1121811,1121812,1552.734225
1121901,1121902,2295.627941
1121902,1121903,3137.936543
1121903,1121904,3005.280964
1121904,1121905,2950.676847
1121905,1121906,4283.371967
