station_cd,station_g_cd,station_name,station_name_k,station_name_r,station_name_zh,station_name_ko,primary_station_number,secondary_station_number,extra_station_number,three_letter_code,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort
100311,100311,東広島,ヒガシヒロシマ,Higashihiroshima,东广岛,히가시히로시마,,,,,1003,34,739-0026,広島県東広島市三永一丁目4-24,132.759762,34.389035,1988-03-13,0000-00-00,0,100311
100312,1161115,広島,ヒロシマ,Hiroshima,广岛,히로시마,,,,,1003,34,732-0822,広島県広島市南区松原町2-37,132.4758267,34.39823447,0000-00-00,0000-00-00,0,100312
100313,100313,新岩国,シンイワクニ,Shin-Iwakuni,新岩国,신이와쿠니,,,,,1003,35,741-0083,山口県岩国市御庄1055-1,132.149384,34.164672,1975-03-10,0000-00-00,0,100313
100314,1161216,徳山,トクヤマ,Tokuyama,德山,도쿠야마,,,,,1003,35,745-0034,山口県周南市御幸通二丁目28,131.8029,34.051555,1897-09-25,0000-00-00,0,100314
100315,1161224,新山口,シンヤマグチ,Shin-Yamaguchi,新山口,신야마구치,,,,,1003,35,754-0002,山口県山口市小郡下郷1294,131.397155,34.093061,1900-12-03,0000-00-00,0,100315
100316,1161230,厚狭,アサ,Asa,厚狭,아사,,,,,1003,35,757-0001,山口県山陽小野田市大字厚狭字沖田8-3,131.159965,34.053361,1900-12-03,0000-00-00,0,100316
100317,1161234,新下関,シンシモノセキ,Shin-Shimonoseki,新下关,신시모노세키,,,,,1003,35,751-0872,山口県下関市秋根南町一丁目11-1,130.948243,34.005615,1901-05-27,0000-00-00,0,100317
100318,1190205,小倉,コクラ,Kokura,小仓,고쿠라,,,,,1003,40,802-0001,福岡県北九州市小倉北区浅野一丁目,130.882466,33.887108,1891-04-01,0000-00-00,0,100318
100319,1190101,博多,ハカタ,Hakata,博多,하카타,,,,,1003,40,812-0012,福岡県福岡市博多区博多駅中央街1-1,130.420622,33.590002,1889-12-11,0000-00-00,0,100319
100401,1130101,東京,トウキョウ,Tōkyō,东京,도쿄,,,,TYO,1004,13,100-0005,東京都千代田区丸の内一丁目9-1,139.766084,35.681382,1914-12-20,0000-00-00,0,100401
100402,1130220,上野,ウエノ,Ueno,上野,우에노,,,,UEN,1004,13,110-0005,東京都台東区上野七丁目1-1,139.777254,35.713768,1883-07-28,0000-00-00,0,100402
100403,1131906,大宮,オオミヤ,Ōmiya,大宫,오미야,,,,OMY,1004,11,330-0853,埼玉県さいたま市大宮区錦町630,139.624,35.906206,1885-03-16,0000-00-00,0,100403
100404,1131918,小山,オヤマ,Oyama,小山,오야마,,,,,1004,9,323-0025,栃木県小山市城山町三丁目3-22,139.80685,36.3142,0000-00-00,0000-00-00,0,100404
100405,1131923,宇都宮,ウツノミヤ,Utsunomiya,宇都宮,우쓰노미야,,,,,1004,9,321-0965,栃木県宇都宮市川向町1-23,139.898283,36.558701,0000-00-00,0000-00-00,0,100405
100406,1131932,那須塩原,ナスシオバラ,Nasushiobara,那须盐原,나스시오바라,,,,,1004,9,329-3153,栃木県那須塩原市大原間555,140.020514,36.931772,0000-00-00,0000-00-00,0,100406
100407,1123106,新白河,シンシラカワ,Shin-Shirakawa,新白河,신시라카와,,,,,1004,7,961-8052,福島県西白河郡西郷村字道南東,140.188998,37.123281,1944-10-11,0000-00-00,0,100407
100408,1123114,郡山,コオリヤマ,Kōriyama,郡山,고리야마,,,,,1004,7,963-8003,福島県郡山市字燧田195,140.388412,37.397983,1887-07-16,0000-00-00,0,100408
100409,1123124,福島,フクシマ,Fukushima,福岛,후쿠시마,,,,,1004,7,960-8031,福島県福島市栄町1-1,140.458724,37.754311,1887-12-15,0000-00-00,0,100409
