station_cd,lat,lat,lon,lon
100907,36.362408,36.362408,138.849589,138.849589
100908,36.342550,36.342550,138.635062,138.635062
100909,36.277898,36.277898,138.464339,138.464339
100910,36.396498,36.396498,138.249736,138.249736
100911,36.643000,36.643000,138.188686,138.188686
100912,36.845620,36.845620,138.358596,138.358596
100913,37.081357,37.081357,138.248487,138.248487
100914,37.043305,37.043305,137.861510,137.861510
100915,36.873163,36.873163,137.480177,137.480177
100916,36.701653,36.701653,137.213141,137.213141
100917,36.727004,36.727004,137.010459,137.010459
100918,36.578117,36.578117,136.648166,136.648166
100919,36.401889,36.401889,136.452742,136.452742
100920,36.320328,36.320328,136.350492,136.350492
100921,36.214444,36.214444,136.235000,136.235000
100922,36.062083,36.062083,136.223333,136.223333
100923,35.895667,35.895667,136.198889,136.198889
100924,35.645161,35.645161,136.076294,136.076294
101001,33.590002,33.590002,130.420622,130.420622
101002,33.370194,33.370194,130.491194,130.491194
101003,33.320409,33.320409,130.501888,130.501888
101004,33.177917,33.177917,130.492389,130.492389
101005,33.071250,33.071250,130.488750,130.488750
101006,32.942500,32.942500,130.573556,130.573556
101007,32.790065,32.790065,130.689401,130.689401
101008,32.517843,32.517843,130.634938,130.634938
101009,32.210736,32.210736,130.428820,130.428820
101010,32.089586,32.089586,130.358230,130.358230
101011,31.813726,31.813726,130.312083,130.312083
101012,31.583785,31.583785,130.541245,130.541245
101101,40.827500,40.827500,140.693472,140.693472
101102,41.145078,41.145078,140.515453,140.515453
101103,41.678281,41.678281,140.434273,140.434273
101104,41.905000,41.905000,140.647500,140.647500
101105,42.255333,42.255333,140.231750,140.231750
101106,42.512477,42.512477,140.375070,140.375070
101107,42.901640,42.901640,140.745471,140.745471
101108,43.162583,43.162583,140.987944,140.987944
101109,43.068612,43.068612,141.350768,141.350768
101201,33.196289,33.196289,130.022900,130.022900
101202,33.106556,33.106556,129.998972,129.998972
101203,32.932778,32.932778,129.956944,129.956944
101204,32.851839,32.851839,130.041472,130.041472
101205,32.752750,32.752750,129.869056,129.869056
1110101,41.773709,41.773709,140.726413,140.726413
1110102,41.803557,41.803557,140.733539,140.733539
1110103,41.846457,41.846457,140.722952,140.722952
1110104,41.864641,41.864641,140.713580,140.713580
1110105,41.886971,41.886971,140.688556,140.688556
1110106,41.905400,41.905400,140.646525,140.646525
1110107,41.930011,41.930011,140.635183,140.635183
1110108,41.971954,41.971954,140.669347,140.669347
1110109,41.980958,41.980958,140.669758,140.669758
1110110,42.003267,42.003267,140.642678,140.642678
1110111,42.038809,42.038809,140.610476,140.610476
1110112,42.061720,42.061720,140.605222,140.605222
1110113,42.081312,42.081312,140.591632,140.591632
1110114,41.990692,41.990692,140.700333,140.700333
1110115,42.003483,42.003483,140.716358,140.716358
1110116,42.015471,42.015471,140.720656,140.720656
1110117,42.064390,42.064390,140.771393,140.771393
1110118,42.107060,42.107060,140.747596,140.747596
1110119,42.121640,42.121640,140.689451,140.689451
1110120,42.119205,42.119205,140.645980,140.645980
1110121,42.111232,42.111232,140.613449,140.613449
1110122,42.106823,42.106823,140.593530,140.593530
1110123,42.108917,42.108917,140.573846,140.573846
1110124,42.115600,42.115600,140.542788,140.542788
1110125,42.135519,42.135519,140.506525,140.506525
1110126,42.159668,42.159668,140.471957,140.471957
1110127,42.172850,42.172850,140.458436,140.458436
1110128,42.187617,42.187617,140.420755,140.420755
1110129,42.217104,42.217104,140.375860,140.375860
1110130,42.231172,42.231172,140.326593,140.326593
1110131,42.253391,42.253391,140.273342,140.273342
1110132,42.278389,42.278389,140.269919,140.269919
1110133,42.314635,42.314635,140.274600,140.274600
1110134,42.368296,42.368296,140.288173,140.288173
1110135,42.400969,42.400969,140.297868,140.297868
1110136,42.439319,42.439319,140.320885,140.320885
1110137,42.477928,42.477928,140.346077,140.346077
1110138,42.512477,42.512477,140.375070,140.375070
1110201,42.512477,42.512477,140.375070,140.375070
1110202,42.575869,42.575869,140.320821,140.320821
1110203,42.626353,42.626353,140.313353,140.313353
1110204,42.669608,42.669608,140.305704,140.305704
1110205,42.675653,42.675653,140.375084,140.375084
1110206,42.761432,42.761432,140.465742,140.465742
1110207,42.804542,42.804542,140.528940,140.528940
1110208,42.797984,42.797984,140.596107,140.596107
1110209,42.808746,42.808746,140.684588,140.684588
1110210,42.848560,42.848560,140.722615,140.722615
1110211,42.901640,42.901640,140.745471,140.745471
1110212,42.971850,42.971850,140.677657,140.677657
1110213,43.040888,43.040888,140.715321,140.715321
1110214,43.125510,43.125510,140.737211,140.737211
1110215,43.154091,43.154091,140.770546,140.770546
1110216,43.186558,43.186558,140.794686,140.794686
1110217,43.196510,43.196510,140.854643,140.854643
1110218,43.202406,43.202406,140.924546,140.924546
1110219,43.197172,43.197172,140.993653,140.993653
1110301,43.197172,43.197172,140.993653,140.993653
1110302,43.186529,43.186529,141.007883,141.007883
1110303,43.180752,43.180752,141.029051,141.029051
1110304,43.176868,43.176868,141.063923,141.063923
1110305,43.143403,43.143403,141.159868,141.159868
1110306,43.133730,43.133730,141.191402,141.191402
1110307,43.132375,43.132375,141.210856,141.210856
1110308,43.128115,43.128115,141.222919,141.222919
1110309,43.120238,43.120238,141.243785,141.243785
1110310,43.112023,43.112023,141.257113,141.257113
1110311,43.099819,43.099819,141.277273,141.277273
1110312,43.089271,43.089271,141.294497,141.294497
1110313,43.081599,43.081599,141.307418,141.307418
1110314,43.070744,43.070744,141.332036,141.332036
1110315,43.068612,43.068612,141.350768,141.350768
1110316,43.068574,43.068574,141.377522,141.377522
1110317,43.054715,43.054715,141.413612,141.413612
1110318,43.045154,43.045154,141.463690,141.463690
1110319,43.056456,43.056456,141.481332,141.481332
1110320,43.072382,43.072382,141.496925,141.496925
1110321,43.092559,43.092559,141.529840,141.529840
1110322,43.100084,43.100084,141.540752,141.540752
1110323,43.110189,43.110189,141.556790,141.556790
1110324,43.136446,43.136446,141.624660,141.624660
1110325,43.151348,43.151348,141.655839,141.655839
1110326,43.181830,43.181830,141.715391,141.715391
1110327,43.204201,43.204201,141.759359,141.759359
1110328,43.264694,43.264694,141.814673,141.814673
1110329,43.292658,43.292658,141.844655,141.844655
1110330,43.330751,43.330751,141.862157,141.862157
1110331,43.369842,43.369842,141.873360,141.873360
1110332,43.423718,43.423718,141.889115,141.889115
1110333,43.464224,43.464224,141.901032,141.901032
1110334,43.493468,43.493468,141.909642,141.909642
1110335,43.555278,43.555278,141.900807,141.900807
1110336,43.627564,43.627564,141.935937,141.935937
1110337,43.690841,43.690841,141.966591,141.966591
1110338,43.721021,43.721021,142.041642,142.041642
1110339,43.732509,43.732509,142.130072,142.130072
1110340,43.763305,43.763305,142.271670,142.271670
1110341,43.789193,43.789193,142.325327,142.325327
1110342,43.763492,43.763492,142.357803,142.357803
1110401,42.512477,42.512477,140.375070,140.375070
1110402,42.584065,42.584065,140.460025,140.460025
1110403,42.589731,42.589731,140.537361,140.537361
1110404,42.580422,42.580422,140.595013,140.595013
1110405,42.585969,42.585969,140.639036,140.639036
1110406,42.580323,42.580323,140.715360,140.715360
1110407,42.550550,42.550550,140.763959,140.763959
1110408,42.513267,42.513267,140.793969,140.793969
1110409,42.488262,42.488262,140.833783,140.833783
1110410,42.469395,42.469395,140.855802,140.855802
1110411,42.450528,42.450528,140.880259,140.880259
1110412,42.425567,42.425567,140.898836,140.898836
1110413,42.386441,42.386441,140.907781,140.907781
1110414,42.373968,42.373968,140.927141,140.927141
1110415,42.358734,42.358734,140.977561,140.977561
1110416,42.317864,42.317864,140.975710,140.975710
1110417,42.317295,42.317295,140.990018,140.990018
1110418,42.329014,42.329014,140.993881,140.993881
1110419,42.333775,42.333775,141.005743,141.005743
1110420,42.349374,42.349374,141.026411,141.026411
1110421,42.359530,42.359530,141.042759,141.042759
1110422,42.409782,42.409782,141.107293,141.107293
1110423,42.441957,42.441957,141.156878,141.156878
1110424,42.452070,42.452070,141.180931,141.180931
1110425,42.464695,42.464695,141.215092,141.215092
1110426,42.492840,42.492840,141.260395,141.260395
1110427,42.509119,42.509119,141.286199,141.286199
1110428,42.521159,42.521159,141.306030,141.306030
1110429,42.554740,42.554740,141.360054,141.360054
1110430,42.578682,42.578682,141.417433,141.417433
1110431,42.602500,42.602500,141.487220,141.487220
1110432,42.622500,42.622500,141.546187,141.546187
1110433,42.629990,42.629990,141.568278,141.568278
1110434,42.639665,42.639665,141.596837,141.596837
1110501,42.639665,42.639665,141.596837,141.596837
1110502,42.672057,42.672057,141.693132,141.693132
1110503,42.729533,42.729533,141.769568,141.769568
1110504,42.765237,42.765237,141.814106,141.814106
1110505,42.814007,42.814007,141.825283,141.825283
1110506,42.873316,42.873316,141.810678,141.810678
1110507,42.945029,42.945029,141.800778,141.800778
1110508,42.975256,42.975256,141.793969,141.793969
1110509,43.012206,43.012206,141.785868,141.785868
1110510,43.058164,43.058164,141.775603,141.775603
1110511,43.085444,43.085444,141.744333,141.744333
1110512,43.120367,43.120367,141.739743,141.739743
1110513,43.158903,43.158903,141.744443,141.744443
1110514,43.204201,43.204201,141.759359,141.759359
1110601,43.555278,43.555278,141.900807,141.900807
1110602,43.574037,43.574037,141.980310,141.980310
1110603,43.555144,43.555144,142.048669,142.048669
1110604,43.537314,43.537314,142.082156,142.082156
1110605,43.541401,43.541401,142.123872,142.123872
1110606,43.516636,43.516636,142.184543,142.184543
1110607,43.488710,43.488710,142.210855,142.210855
1110608,43.474418,43.474418,142.261772,142.261772
1110609,43.374400,43.374400,142.350406,142.350406
1110610,43.347114,43.347114,142.391374,142.391374
1110611,43.291991,43.291991,142.400595,142.400595
1110612,43.244645,43.244645,142.381522,142.381522
1110613,43.197328,43.197328,142.415402,142.415402
1110614,43.136115,43.136115,142.416201,142.416201
1110615,43.164011,43.164011,142.523472,142.523472
1110616,43.161582,43.161582,142.569474,142.569474
1110617,43.125055,43.125055,142.669104,142.669104
1110618,43.082501,43.082501,142.832432,142.832432
1110701,43.082501,43.082501,142.832432,142.832432
1110702,43.012892,43.012892,142.879535,142.879535
1110703,42.957499,42.957499,142.906646,142.906646
1110704,42.942418,42.942418,142.935739,142.935739
1110705,42.909846,42.909846,143.047991,143.047991
1110706,42.916056,42.916056,143.069666,143.069666
1110707,42.923941,42.923941,143.126351,143.126351
1110708,42.928877,42.928877,143.164500,143.164500
1110709,42.917997,42.917997,143.201950,143.201950
1110710,42.912697,42.912697,143.256248,143.256248
1110711,42.903963,42.903963,143.297528,143.297528
1110712,42.907840,42.907840,143.359293,143.359293
1110713,42.934706,42.934706,143.424445,143.424445
1110714,42.922186,42.922186,143.453033,143.453033
1110715,42.855781,42.855781,143.500797,143.500797
1110716,42.817548,42.817548,143.538615,143.538615
1110717,42.778238,42.778238,143.608260,143.608260
1110718,42.810849,42.810849,143.651568,143.651568
1110719,42.831881,42.831881,143.749788,143.749788
1110720,42.809539,42.809539,143.814389,143.814389
1110721,42.852205,42.852205,143.863607,143.863607
1110722,42.869163,42.869163,143.904331,143.904331
1110723,42.888997,42.888997,143.932442,143.932442
1110724,42.947893,42.947893,144.008589,144.008589
1110725,42.956161,42.956161,144.076879,144.076879
1110726,42.976138,42.976138,144.129826,144.129826
1110727,42.983601,42.983601,144.150018,144.150018
1110728,43.009078,43.009078,144.273879,144.273879
1110729,43.009423,43.009423,144.295558,144.295558
1110730,43.001605,43.001605,144.350758,144.350758
1110731,42.990584,42.990584,144.381983,144.381983
1110801,42.990584,42.990584,144.381983,144.381983
1110802,42.995207,42.995207,144.411307,144.411307
1110803,42.991364,42.991364,144.426681,144.426681
1110804,42.994384,42.994384,144.469596,144.469596
1110805,43.032893,43.032893,144.612390,144.612390
1110806,43.018463,43.018463,144.703758,144.703758
1110807,43.057581,43.057581,144.782638,144.782638
1110808,43.056248,43.056248,144.841355,144.841355
1110809,43.103506,43.103506,144.925450,144.925450
1110810,43.129266,43.129266,145.028010,145.028010
1110811,43.157540,43.157540,145.099657,145.099657
1110812,43.196201,43.196201,145.194716,145.194716
1110813,43.228224,43.228224,145.252096,145.252096
1110814,43.204542,43.204542,145.322770,145.322770
1110815,43.218427,43.218427,145.423593,145.423593
1110816,43.198335,43.198335,145.519449,145.519449
1110817,43.228593,43.228593,145.542444,145.542444
1110818,43.268043,43.268043,145.541817,145.541817
1110819,43.295388,43.295388,145.575045,145.575045
1110820,43.323655,43.323655,145.597234,145.597234
1110821,43.326923,43.326923,145.582707,145.582707
1110901,42.639665,42.639665,141.596837,141.596837
1110902,42.672057,42.672057,141.693132,141.693132
1110903,42.713645,42.713645,141.735344,141.735344
1110904,42.777418,42.777418,141.711387,141.711387
1110905,42.787546,42.787546,141.680823,141.680823
1110906,42.808040,42.808040,141.675388,141.675388
1110907,42.828110,42.828110,141.651934,141.651934
1110908,42.852178,42.852178,141.622987,141.622987
1110909,42.866812,42.866812,141.605616,141.605616
1110910,42.883076,42.883076,141.586234,141.586234
1110911,42.902704,42.902704,141.574429,141.574429
1110912,42.922504,42.922504,141.573117,141.573117
1110913,42.979239,42.979239,141.563115,141.563115
1110914,43.016177,43.016177,141.487317,141.487317
1110915,43.038732,43.038732,141.472370,141.472370
1110916,43.046950,43.046950,141.437967,141.437967
1110917,43.054715,43.054715,141.413612,141.413612
1110918,43.068574,43.068574,141.377522,141.377522
1110919,43.068612,43.068612,141.350768,141.350768
1111001,42.808040,42.808040,141.675388,141.675388
1111002,42.873316,42.873316,141.810678,141.810678
1111003,42.902377,42.902377,141.832280,141.832280
1111004,42.914721,42.914721,141.894791,141.894791
1111005,42.910244,42.910244,141.976280,141.976280
1111006,42.914667,42.914667,142.024478,142.024478
1111007,42.936611,42.936611,142.036570,142.036570
1111008,42.957586,42.957586,142.030836,142.030836
1111009,42.985272,42.985272,142.006597,142.006597
1111010,42.998270,42.998270,142.007285,142.007285
1111011,43.039447,43.039447,141.964476,141.964476
1111012,43.050926,43.050926,141.967472,141.967472
1111013,42.993088,42.993088,142.400078,142.400078
1111014,43.055913,43.055913,142.610937,142.610937
1111015,43.082501,43.082501,142.832432,142.832432
1111101,42.639665,42.639665,141.596837,141.596837
1111102,42.632805,42.632805,141.727667,141.727667
1111103,42.606725,42.606725,141.837071,141.837071
1111104,42.590722,42.590722,141.883620,141.883620
1111105,42.578953,42.578953,141.923892,141.923892
1111106,42.550235,42.550235,141.945255,141.945255
1111107,42.516865,42.516865,142.020855,142.020855
1111108,42.481237,42.481237,142.072692,142.072692
1111109,42.470119,42.470119,142.122493,142.122493
1111110,42.455709,42.455709,142.176624,142.176624
1111111,42.430507,42.430507,142.215896,142.215896
1111112,42.395695,42.395695,142.259355,142.259355
1111113,42.382480,42.382480,142.275541,142.275541
1111114,42.360667,42.360667,142.312585,142.312585
1111115,42.336559,42.336559,142.360402,142.360402
1111116,42.314084,42.314084,142.400665,142.400665
1111117,42.304416,42.304416,142.450485,142.450485
1111118,42.268515,42.268515,142.498943,142.498943
1111119,42.280837,42.280837,142.521371,142.521371
1111120,42.247269,42.247269,142.566859,142.566859
1111121,42.264636,42.264636,142.604517,142.604517
1111122,42.248205,42.248205,142.630455,142.630455
1111123,42.206136,42.206136,142.689432,142.689432
1111124,42.198428,42.198428,142.736134,142.736134
1111125,42.168366,42.168366,142.769976,142.769976
1111126,42.156037,42.156037,142.788931,142.788931
1111127,42.142338,42.142338,142.834519,142.834519
1111128,42.134449,42.134449,142.882513,142.882513
1111129,42.138411,42.138411,142.908737,142.908737
1111130,42.127936,42.127936,142.935960,142.935960
1111201,43.068612,43.068612,141.350768,141.350768
1111202,43.070744,43.070744,141.332036,141.332036
1111203,43.085845,43.085845,141.319145,141.319145
1111204,43.098604,43.098604,141.323824,141.323824
1111205,43.112928,43.112928,141.335105,141.335105
1111206,43.124010,43.124010,141.349526,141.349526
1111207,43.131476,43.131476,141.360672,141.360672
1111208,43.145152,43.145152,141.364323,141.364323
1111209,43.155568,43.155568,141.381013,141.381013
1111210,43.155280,43.155280,141.398420,141.398420
1111211,43.161206,43.161206,141.413276,141.413276
1111231,43.179589,43.179589,141.436236,141.436236
1111212,43.189801,43.189801,141.449066,141.449066
1111213,43.222080,43.222080,141.513764,141.513764
1111214,43.230925,43.230925,141.549950,141.549950
1111215,43.245385,43.245385,141.569239,141.569239
1111216,43.280190,43.280190,141.591661,141.591661
1111217,43.306846,43.306846,141.602341,141.602341
1111218,43.324867,43.324867,141.618070,141.618070
1111219,43.331545,43.331545,141.649123,141.649123
1111220,43.340869,43.340869,141.670193,141.670193
1111221,43.366645,43.366645,141.714026,141.714026
1111222,43.370926,43.370926,141.742762,141.742762
1111223,43.399921,43.399921,141.779211,141.779211
1111224,43.419153,43.419153,141.803549,141.803549
1111225,43.430964,43.430964,141.817376,141.817376
1111226,43.457673,43.457673,141.840637,141.840637
1111227,43.473424,43.473424,141.840102,141.840102
1111228,43.485542,43.485542,141.844454,141.844454
1111229,43.502710,43.502710,141.855574,141.855574
1111230,43.545575,43.545575,141.874172,141.874172
1111301,43.721021,43.721021,142.041642,142.041642
1111302,43.742021,43.742021,142.014721,142.014721
1111303,43.769099,43.769099,141.967757,141.967757
1111304,43.789375,43.789375,141.960915,141.960915
1111305,43.810032,43.810032,141.934266,141.934266
1111306,43.832965,43.832965,141.906756,141.906756
1111307,43.851296,43.851296,141.881440,141.881440
1111308,43.850789,43.850789,141.818879,141.818879
1111309,43.855521,43.855521,141.758418,141.758418
1111310,43.887080,43.887080,141.720588,141.720588
1111311,43.913418,43.913418,141.696528,141.696528
1111312,43.942848,43.942848,141.651433,141.651433
1111313,43.934987,43.934987,141.634535,141.634535
1111314,43.930354,43.930354,141.632835,141.632835
1111315,43.904871,43.904871,141.611358,141.611358
1111316,43.894339,43.894339,141.605598,141.605598
1111317,43.874479,43.874479,141.589039,141.589039
1111318,43.869113,43.869113,141.580068,141.580068
1111319,43.860678,43.860678,141.564328,141.564328
1111320,43.859125,43.859125,141.551640,141.551640
1111321,43.856522,43.856522,141.527559,141.527559
1111401,43.763492,43.763492,142.357803,142.357803
1111402,43.745033,43.745033,142.358257,142.358257
1111403,43.731074,43.731074,142.365701,142.365701
1111404,43.720834,43.720834,142.371507,142.371507
1111405,43.702420,43.702420,142.381982,142.381982
1111406,43.682181,43.682181,142.393677,142.393677
1111407,43.669047,43.669047,142.415209,142.415209
1111408,43.643737,43.643737,142.451024,142.451024
1111409,43.617884,43.617884,142.479594,142.479594
1111410,43.591186,43.591186,142.461639,142.461639
1111411,43.537408,43.537408,142.447192,142.447192
1111412,43.464046,43.464046,142.468761,142.468761
1111413,43.429569,43.429569,142.441876,142.441876
1111414,43.420650,43.420650,142.434032,142.434032
1111415,43.405704,43.405704,142.420812,142.420812
1111416,43.387499,43.387499,142.404812,142.404812
1111417,43.366234,43.366234,142.386118,142.386118
1111418,43.347114,43.347114,142.391374,142.391374
1111501,43.763492,43.763492,142.357803,142.357803
1111502,43.764056,43.764056,142.375815,142.375815
1111503,43.780174,43.780174,142.384789,142.384789
1111504,43.814158,43.814158,142.434382,142.434382
1111505,43.826736,43.826736,142.454493,142.454493
1111506,43.853342,43.853342,142.467271,142.467271
1111507,43.874478,43.874478,142.471294,142.471294
1111508,43.901728,43.901728,142.476545,142.476545
1111509,43.925072,43.925072,142.473699,142.473699
1111510,43.967940,43.967940,142.455200,142.455200
1111511,44.026932,44.026932,142.415309,142.415309
1111512,44.068723,44.068723,142.388073,142.388073
1111513,44.096430,44.096430,142.364754,142.364754
1111514,44.139423,44.139423,142.377955,142.377955
1111515,44.172536,44.172536,142.388247,142.388247
1111516,44.210583,44.210583,142.396405,142.396405
1111517,44.241296,44.241296,142.396315,142.396315
1111518,44.266349,44.266349,142.396244,142.396244
1111519,44.292238,44.292238,142.421624,142.421624
1111520,44.330939,44.330939,142.465482,142.465482
1111521,44.349403,44.349403,142.465207,142.465207
1111522,44.381713,44.381713,142.467354,142.467354
1111523,44.441569,44.441569,142.428116,142.428116
1111524,44.455553,44.455553,142.414772,142.414772
1111525,44.461030,44.461030,142.394007,142.394007
1111526,44.462604,44.462604,142.367822,142.367822
1111527,44.482951,44.482951,142.350597,142.350597
1111528,44.512808,44.512808,142.336129,142.336129
1111529,44.538761,44.538761,142.333570,142.333570
1111530,44.598486,44.598486,142.309447,142.309447
1111531,44.639503,44.639503,142.270342,142.270342
1111532,44.665041,44.665041,142.258682,142.258682
1111533,44.692702,44.692702,142.267569,142.267569
1111534,44.729448,44.729448,142.259883,142.259883
1111535,44.738883,44.738883,142.197777,142.197777
1111536,44.743986,44.743986,142.048562,142.048562
1111537,44.811860,44.811860,142.075335,142.075335
1111538,44.880493,44.880493,142.052162,142.052162
1111539,44.912330,44.912330,142.025562,142.025562
1111540,44.920778,44.920778,142.000931,142.000931
1111541,44.911735,44.911735,141.935888,141.935888
1111542,44.949809,44.949809,141.894187,141.894187
1111543,44.965084,44.965084,141.884892,141.884892
1111544,44.985787,44.985787,141.880905,141.880905
1111545,45.014503,45.014503,141.845690,141.845690
1111546,45.037146,45.037146,141.758218,141.758218
1111547,45.104624,45.104624,141.772088,141.772088
1111548,45.145838,45.145838,141.751039,141.751039
1111549,45.220236,45.220236,141.697200,141.697200
1111550,45.259339,45.259339,141.685151,141.685151
1111551,45.316866,45.316866,141.644576,141.644576
1111552,45.398166,45.398166,141.683026,141.683026
1111553,45.416995,45.416995,141.676999,141.676999
1111601,43.763492,43.763492,142.357803,142.357803
1111602,43.764056,43.764056,142.375815,142.375815
1111603,43.780174,43.780174,142.384789,142.384789
1111604,43.780550,43.780550,142.408530,142.408530
1111605,43.776571,43.776571,142.441544,142.441544
1111606,43.781813,43.781813,142.466127,142.466127
1111607,43.801812,43.801812,142.486968,142.486968
1111608,43.825477,43.825477,142.516987,142.516987
1111609,43.857455,43.857455,142.521559,142.521559
1111610,43.876025,43.876025,142.525227,142.525227
1111611,43.898635,43.898635,142.582176,142.582176
1111612,43.896216,43.896216,142.655424,142.655424
1111613,43.866442,43.866442,142.680699,142.680699
1111614,43.852011,43.852011,142.693868,142.693868
1111615,43.843693,43.843693,142.716544,142.716544
1111616,43.848508,43.848508,142.766895,142.766895
1111617,43.876501,43.876501,143.144400,143.144400
1111618,43.884435,43.884435,143.180795,143.180795
1111619,43.919905,43.919905,143.236729,143.236729
