line_cd,company_cd,line_name,line_name_k,line_name_h,line_name_r,line_name_zh,line_name_ko,line_color_c,line_color_t,line_type,line_symbol_primary,line_symbol_secondary,line_symbol_extra,line_symbol_primary_color,line_symbol_secondary_color,line_symbol_extra_color,line_symbol_primary_shape,line_symbol_secondary_shape,line_symbol_extra_shape,lon,lat,zoom,e_status,e_sort
11926,6,肥薩線(吉松～隼人),ヒサツセン,肥薩線(吉松～隼人),Hisatsu Line(Yoshimatsu to Hayato),肥萨线,히사쓰선,B26F2D,黄土,2,,,,,,,,,,130.7067465,31.89098429,11,0,11926
11927,6,宮崎空港線,ミヤザキクウコウセン,宮崎空港線,Miyazaki Airport Line,宫崎机场线,미야자키쿠코선,31A7D8,水色,2,,,,,,,,,,131.4327623,31.89534315,13,0,11927
11928,6,日南線,ニチナンセン,日南線,Nichinan Line,日南线,니치난선,E3714A,オレンジ,2,,,,,,,,,,131.3626539,31.68357655,10,0,11928
11929,6,えびの高原線,エビノコウゲンセン,吉都線,Ebino Kogen Line,虾野高原线,에비노고원선,B07133,茶,2,,,,,,,,,,130.9564017,31.91724391,10,0,11929
11930,6,指宿枕崎線,イブスキマクラザキセン,指宿枕崎線,Ibusuki Makurazaki Line,指宿枕崎线,이부스키마쿠라자키선,E6CE38,黄色,2,,,,,,,,,,130.5034109,31.35999955,10,0,11930
21001,11,東武東上線,トウブトウジョウセン,東武東上線,Tobu Tojo Line,东武东上线,도부 도조선,014099,紺,2,TJ,,,014099,,,SQUARE,,,139.4596379,35.92121867,10,0,21001
21002,11,東武伊勢崎線,トウブイセサキセン,東武伊勢崎線,Tobu Isesaki Line(Tobu SKYTREE Line),东武伊势崎线,도부 이세사키선,B50033,赤,2,TI,TS,,B50033,0067c0,,SQUARE,SQUARE,,139.4993413,36.05676642,10,0,21002
21003,11,東武日光線,トウブニッコウセン,東武日光線,Tobu Nikko Line,东武日光线,도부 닛코선,F08200,オレンジ,2,TN,TS,,F08200,0067c0,,SQUARE,SQUARE,,139.6911602,36.4457974,9,0,21003
21004,11,東武野田線,トウブノダセン,東武野田線,Tobu Noda Line,东武野田线,도부 노다선,00A1E9,水色,2,TD,,,00A1E9,,,SQUARE,,,139.8919126,35.88791322,10,0,21004
21005,11,東武亀戸線,トウブカメイドセン,東武亀戸線,Tobu Kameido Line,东武龟户线,도부 가메이도선,C0AD4A,ゴールド,2,TS,,,0067c0,,,SQUARE,,,139.8243468,35.70795152,14,0,21005
21006,11,東武大師線,トウブダイシセン,東武大師線,Tobu Daishi Line,东武大师线,도부 다이시선,7A6C99,紫,2,TS,,,0067c0,,,SQUARE,,,139.7853229,35.77906123,15,0,21006
21007,11,東武越生線,トウブオゴセセン,東武越生線,Tobu Ogose Line,东武越生线,도부 오고세선,F6AB00,オレンジ,2,TJ,,,014099,,,SQUARE,,,139.3426227,35.95321877,12,0,21007
21008,11,東武宇都宮線,トウブウツノミヤセン,東武宇都宮線,Tobu Utsunomiya Line,东武宇都宫线,도부 우쓰노미야선,D9AE3D,黄土,2,TN,,,F08200,,,SQUARE,,,139.8178944,36.48379029,12,0,21008
21009,11,東武鬼怒川線,トウブキヌガワセン,東武鬼怒川線,Tobu Kinugawa Line,东武鬼怒川线,도부 기누가와선,2B71B8,青,2,TN,,,F08200,,,SQUARE,,,139.7071736,36.79812975,12,0,21009
21010,11,東武佐野線,トウブサノセン,東武佐野線,Tobu Sano Line,东武佐野线,도부 사노선,A661A4,紫,2,TI,,,B50033,,,SQUARE,,,139.5680586,36.3288676,12,0,21010
21011,11,東武桐生線,トウブキリュウセン,東武桐生線,Tobu Kiryu Line,东武桐生线,도부 기류선,118CCF,青,2,TI,,,B50033,,,SQUARE,,,139.3234126,36.36939671,12,0,21011
21012,11,東武小泉線,トウブコイズミセン,東武小泉線,Tobu Koizumi Line,东武小泉线,도부 고이즈미선,DDC300,黄色,2,TI,,,B50033,,,SQUARE,,,139.450654,36.25658593,12,0,21012
22001,12,西武池袋線,セイブイケブクロセン,西武池袋線,Seibu Ikebukuro Line,西武池袋线,세이부 이케부쿠로선,F17900,オレンジ,2,SI,,,F17900,,,HALF_SQUARE_DARK_TEXT,,,139.4678929,35.79126174,10,0,22001
22002,12,西武秩父線,セイブチチブセン,西武秩父線,Seibu Chichibu Line,西武秩父线,세이부 지치부선,F17900,オレンジ,2,SI,,,F17900,,,HALF_SQUARE_DARK_TEXT,,,139.2047331,35.9217046,11,0,22002
22003,12,西武有楽町線,セイブユウラクチョウセン,西武有楽町線,Seibu Yurakucho Line,西武有乐町线,세이부 유라쿠초선,F17901,オレンジ,2,SI,,,F17900,,,HALF_SQUARE_DARK_TEXT,,,139.667595,35.740404,14,0,22003
22004,12,西武豊島線,セイブトシマセン,西武豊島線,Seibu Toshima Line,西武丰岛线,세이부 도시마선,F17900,オレンジ,2,SI,,,F17900,,,HALF_SQUARE_DARK_TEXT,,,139.6515168,35.74004317,15,0,22004
22005,12,西武狭山線,セイブサヤマセン,西武狭山線,Seibu Sayama Line,西武狭山线,세이부 사야마선,F17900,オレンジ,2,SI,,,F17900,,,HALF_SQUARE_DARK_TEXT,,,139.4392487,35.77960247,14,0,22005
22006,12,レオライナー,レオライナー,西武山口線,Seibu Yamaguchi Line,西武山口线,세이부 야마구치선,FF69B4,ピンク,5,SY,,,FF3333,,,HALF_SQUARE_DARK_TEXT,,,139.4314444,35.77056761,14,0,22006
22007,12,西武新宿線,セイブシンジュクセン,西武新宿線,Seibu Shinjuku Line,西武新宿线,세이부 신주쿠선,00A6C0,水色,2,SS,,,00A6C0,,,HALF_SQUARE_DARK_TEXT,,,139.5308649,35.77694687,11,0,22007
22008,12,西武拝島線,セイブハイジマセン,西武拝島線,Seibu Haijima Line,西武拜岛线,세이부 하이지마선,00A6C0,水色,2,SS,,,00A6C0,,,HALF_SQUARE_DARK_TEXT,,,139.4131356,35.7328647,12,0,22008
22009,12,西武西武園線,セイブセイブエンセン,西武西武園線,Seibu Seibuen Line,西武西武园线,세이부 세이부엔선,00A6C0,水色,2,SK,,,00A6C0,,,HALF_SQUARE_DARK_TEXT,,,139.4573715,35.76415058,14,0,22009
