line_cd,company_cd,line_name,line_name_k,line_name_h,line_name_r,line_name_zh,line_name_ko,line_color_c,line_color_t,line_type,line_symbol_primary,line_symbol_secondary,line_symbol_extra,line_symbol_primary_color,line_symbol_secondary_color,line_symbol_extra_color,line_symbol_primary_shape,line_symbol_secondary_shape,line_symbol_extra_shape,lon,lat,zoom,e_status,e_sort
1001,3,中央新幹線,チュウオウシンカンセン,中央新幹線,Chuo Shinkansen,中央新干线,주오 신칸센,000000,無し,1,,,,,,,NOOP,,,137.4938965,35.41143805,8,1,1001
1002,3,東海道新幹線,トウカイドウシンカンセン,東海道新幹線,Tokaido Shinkansen,东海道新干线,도카이도 신칸센,0000FF,ブルー,1,,,,,,,NOOP,,,137.7214887,35.14412194,7,0,1002
1003,4,山陽新幹線,サンヨウシンカンセン,山陽新幹線,Sanyo Shinkansen,山阳新干线,산요 신칸센,0000FF,ブルー,1,,,,,,,NOOP,,,133.1478961,34.4193377,7,0,1003
1004,2,東北新幹線,トウホクシンカンセン,東北新幹線,Tōhoku Shinkansen,东北新干线,도호쿠 신칸센,008000,グリーン,1,,,,,,,NOOP,,,140.7631922,38.27426694,7,0,1004
1005,2,上越新幹線,ジョウエツシンカンセン,上越新幹線,Joetsu Shinkansen,上越新干线,조에쓰 신칸센,008000,グリーン,1,,,,,,,NOOP,,,139.121488,36.79856473,8,0,1005
1006,2,上越新幹線(ガーラ湯沢支線),ジョウエツシンカンセン,上越新幹線(ガーラ湯沢支線),Joetsu Shinkansen(Gala Yuzawa Branch),上越新干线(支线),조에쓰 신칸센(지선),008000,グリーン,1,,,,,,,NOOP,,,138.8032504,36.94288211,14,0,1006
1007,2,山形新幹線,ヤマガタシンカンセン,山形新幹線,Yamagata Shinkansen,山形新干线,야마가타 신칸센,FFA030,オレンジ,1,,,,,,,NOOP,,,140.1684778,37.58820881,8,0,1007
1008,2,秋田新幹線,アキタシンカンセン,秋田新幹線,Akita Shinkansen,秋田新干线,아키타 신칸센,FF0080,ピンク,1,,,,,,,NOOP,,,140.3622538,37.75728895,7,0,1008
1009,2,北陸新幹線,ホクリクシンカンセン,北陸新幹線,Hokuriku Shinkansen,北陆新干线,호쿠리쿠 신칸센,008000,グリーン,1,,,,,,,NOOP,,,138.0356977,36.18598137,8,0,1009
1010,6,九州新幹線,キュウシュウシンカンセン,九州新幹線,Kyushu Shinkansen,九州新干线,규슈 신칸센,FF0000,レッド,1,,,,,,,NOOP,,,130.5768238,32.79428002,8,0,1010
1011,1,北海道新幹線,ホッカイドウシンカンセン,北海道新幹線,Hokkaido Shinkansen,北海道新干线,홋카이도 신칸센,6E5CA5,紫,1,,,,,,,NOOP,,,140.6442261,42.09414637,7,0,1011
1012,6,西九州新幹線,ニシキュウシュウシンカンセン,西九州新幹線,Nishi-Kyushu Shinkansen,西九州新干线,니시큐슈 신칸센,E10017,赤,1,,,,,,,NOOP,,,130.0229,33.196289,9,0,1012
11101,1,函館本線(函館～長万部),ハコダテホンセン,函館本線(函館～長万部),Hakodate Main Line,函馆本线,하코다테 본선,0072BC,青,2,H,N,,0072bc,0072bc,,ROUND,ROUND,,140.4833697,42.23981411,9,0,11101
11102,1,函館本線(長万部～小樽),ハコダテホンセン,函館本線(長万部～小樽),Hakodate Main Line,函馆本线,하코다테 본선,ED1C23,赤,2,S,H,,ed1c23,0072bc,,ROUND,ROUND,,140.6428878,42.91991023,9,0,11102
11103,1,函館本線(小樽～旭川),ハコダテホンセン,函館本線(小樽～旭川),Hakodate Main Line,函馆本线,하코다테 본선,F7931D,オレンジ,2,A,H,0,f7931d,0072bc,000000,ROUND,ROUND,MONOCHROME_ROUND,141.6979108,43.4150974,9,0,11103
11104,1,室蘭本線(長万部・室蘭～苫小牧),ムロランホンセン,室蘭本線(長万部・室蘭～苫小牧),Muroran Main Line,室兰本线,무로란 본선,0072BC,青,2,H,M,,0072bc,0072bc,,ROUND,ROUND,,141.0063937,42.57071674,9,0,11104
11105,1,室蘭本線(苫小牧～岩見沢),ムロランホンセン,室蘭本線(苫小牧～岩見沢),Muroran Main Line,室兰本线,무로란 본선,808080,グレー,2,H,K,A,0072bc,8cc63e,f7931d,ROUND,ROUND,ROUND,141.7444991,42.93841714,10,0,11105
11106,1,根室本線(滝川～新得),ネムロホンセン,根室本線(滝川～新得),Nemuro Main Line,根室本线,네무로 본선,F6989D,薄いピンク,2,T,K,A,f6989d,8cc63e,f7931d,ROUND,ROUND,ROUND,142.3355332,43.35975106,10,0,11106
11107,1,根室本線(新得～釧路),ネムロホンセン,根室本線(新得～釧路),Nemuro Main Line,根室本线,네무로 본선,8CC63E,黄緑,2,K,,,8cc63e,,,ROUND,,,143.5647441,42.9656747,9,0,11107
11108,1,花咲線,ハナサキセン,根室本線(釧路～根室),Hanasaki Line,花咲线,하나사키선,808080,グレー,2,K,B,,8cc63e,ef59a1,,ROUND,ROUND,,145.0642882,43.12755462,9,0,11108
11109,1,千歳線,チトセセン,千歳線,Chitose Line,千岁线,지토세선,00B2EB,スカイブルー,2,H,AP,0,0072bc,00b2eb,000000,ROUND,ROUND,MONOCHROME_ROUND,141.5675688,42.88585087,10,0,11109
11110,1,石勝線,セキショウセン,石勝線,Sekisho Main Line,石胜线,세키쇼선,8CC63E,黄緑,2,K,H,Y,8cc63e,0072bc,8cc63e,ROUND,ROUND,ROUND,142.1208103,42.97760967,9,0,11110
11111,1,日高本線,ヒダカホンセン,日高本線,Hidaka Main Line,日高本线,히다카 본선,808080,グレー,2,H,,,0072bc,,,ROUND,,,142.1892282,42.43948998,9,0,11111
11112,1,札沼線,サッショウセン,札沼線,Sassho Line,札沼线,삿쇼선,00A54F,緑,2,G,S,0,00a54f,ed1c23,000000,ROUND,ROUND,MONOCHROME_ROUND,141.6575101,43.33044878,10,0,11112
11113,1,留萌本線,ルモイホンセン,留萌本線,Rumoi Main Line,留萌本线,루모이 본선,808080,グレー,2,,,,,,,,,,141.763792,43.84733117,10,0,11113
11114,1,富良野線,フラノセン,富良野線,Furano Line,富良野线,후라노선,AA5EA6,紫,2,F,A,T,aa5ea6,f7931d,f6989d,ROUND,ROUND,ROUND,142.4293334,43.60983839,10,0,11114
11115,1,宗谷本線,ソウヤホンセン,宗谷本線,Soya Main Line,宗谷本线,소야 본선,954A35,茶,2,W,A,,954a35,f7931d,,ROUND,ROUND,,142.225614,44.6587297,8,0,11115
11116,1,石北本線,セキホクホンセン,石北本線,Sekihoku Main Line,石北本线,세키호쿠 본선,F7931D,オレンジ,2,A,,,f7931d,,,ROUND,,,143.3629461,43.9613877,8,0,11116
11117,1,釧網本線,センモウホンセン,釧網本線,Senmo Main Line,钏网本线,센모 본선,EF59A1,ピンク,2,B,A,K,ef59a1,f7931d,8cc63e,ROUND,ROUND,ROUND,144.4337656,43.52373901,9,0,11117
11118,1,海峡線,カイキョウセン,海峡線,Kaikyo Line,海峡线,가이쿄선,808080,グレー,2,,,,,,,,,,140.329047,41.36657457,9,0,11118
11119,1,江差線,エサシセン,江差線,Esashi Line,江差线,에사시선,808080,グレー,2,,,,,,,,,,140.4168208,41.7753819,10,2,11119
11201,2,東北本線(八戸～青森),トウホクホンセン,東北本線(八戸～青森),Tohoku Main Line,东北本线,도호쿠 본선,3CB371,グリーン,2,,,,,,,,,,141.1472278,40.69791852,10,2,11201
11202,2,奥羽本線(新庄～青森),オウウホンセン,奥羽本線(新庄～青森),Ou Main Line,奥羽本线,오우 본선,FF6600,オレンジ,2,,,,,,,,,,140.4427173,39.92227066,8,0,11202
11231,2,東北本線(黒磯～利府・盛岡),トウホクホンセン,東北本線(黒磯～利府・盛岡),Tohoku Main Line,东北本线,도호쿠 본선,3CB371,グリーン,2,,,,,,,,,,140.8981249,38.46142404,8,0,11202
11203,2,はまなすベイライン大湊線,ハマナスベイラインオオミナトセン,大湊線,Ominato Line,大凑线,오미나토선,F1AA28,ゴールド,2,,,,,,,,,,141.2341889,41.07704833,10,0,11203
11204,2,五能線,ゴノウセン,五能線,Gono Line,五能线,고노선,0000FF,ブルー,2,,,,,,,,,,140.1536,40.62248824,9,0,11204
11205,2,津軽線,ツガルセン,津軽線,Tsugaru Line,津轻线,쓰가루선,00B2E5,スカイブルー,2,,,,,,,,,,140.6379643,40.99724898,10,0,11205
11206,2,八戸線,ハチノヘセン,八戸線,Hachinohe Line,八户线,하치노헤선,FF0000,レッド,2,,,,,,,,,,141.7019344,40.40264308,10,0,11206
11207,2,岩泉線,イワイズミセン,岩泉線,Iwaizumi Line,岩泉线,이와이즈미선,808080,グレー,2,,,,,,,,,,141.7110907,39.75256666,11,2,11207
11208,2,ドラゴンレール大船渡線,ドラゴンレールオオフナトセン,大船渡線,Dragon Rail Ofunato Line,大船渡线,오후나토선,FF6600,オレンジ,2,,,,,,,,,,141.4724298,38.96164069,10,0,11208
11209,2,銀河ドリームライン釜石線,ギンガドリームラインカマイシセン,釜石線,Ginga Dream Line Kamaishi Line,釜石线,가마이시선,3399FF,スカイブルー,2,,,,,,,,,,141.5279124,39.32636455,10,0,11209
11210,2,北上線,キタカミセン,北上線,Kitakami Line,北上线,기타카미선,9966FF,パープル,2,,,,,,,,,,140.8466239,39.30471879,10,0,11210
11211,2,田沢湖線,タザワコセン,田沢湖線,Tazawako Line,田泽湖线,다자와코선,CC00CC,レッドパープル,2,,,,,,,,,,140.7685672,39.6934485,10,0,11211
11212,2,十和田八幡平四季彩ライン,トワダハチマンタイシキサイライン,花輪線,Towada-Hachimantai Shikisai Line,花轮线,하나와선,FF0000,レッド,2,,,,,,,,,,140.8453488,40.13373143,10,0,11212
11213,2,山田線,ヤマダセン,山田線,Yamada Line,山田线,야마다선,A52A2A,ブラウン,2,,,,,,,,,,141.6667874,39.59692922,9,0,11213
11214,2,羽越本線,ウエツホンセン,羽越本線,Uetsu Main Line,羽越本线,우에쓰 본선,16C0E9,スカイブルー,2,,,,,,,,,,139.7617803,38.73294117,8,0,11214
11215,2,男鹿線,オガセン,男鹿線,Oga Line,男鹿线,오가선,008000,グリーン,2,,,,,,,,,,139.958679,39.89239988,11,0,11215
11216,2,山形線,ヤマガタセン,奥羽本線(福島～新庄),Ou Main Line,奥羽本线,오우 본선,FF6600,オレンジ,2,,,,,,,,,,140.2833537,38.30771536,9,0,11216
11217,2,仙山線,センザンセン,仙山線,Senzan Line,仙山线,센잔선,77DD00,ウグイス,2,,,,,,,,,,140.5996186,38.31470035,10,0,11217
11218,2,フルーツライン左沢線,フルーツラインアテラザワセン,左沢線,Fruits Line Aterazawa Line,左泽线,아테라자와선,87CEEB,薄いスカイブルー,2,,,,,,,,,,140.2808095,38.33565073,12,0,11218
11219,2,米坂線,ヨネサカセン,米坂線,Yonesaka Line,米坂线,요네사카선,9E7EB9,パープル,2,,,,,,,,,,139.7703569,38.04498397,10,0,11219
11220,2,奥の細道最上川ライン,オクノホソミチモガミガワライン,陸羽西線,Oku no Hosomichi Mogamigawa Line,陆羽西线,리쿠우사이선,32CD32,ライムグリーン,2,,,,,,,,,,140.0961846,38.75534124,10,0,11220
11221,2,奥の細道湯けむりライン,オクノホソミチユケムリライン,陸羽東線,Oku no Hosomichi Yukemuri Line,陆羽东线,리쿠우토선,888888,グレー,2,,,,,,,,,,140.6813043,38.73003972,10,0,11221
11222,2,仙石線,センセキセン,仙石線,Senseki Line,仙石线,센세키선,00AAEE,スカイブルー,2,,,,,,,,,,141.0726418,38.36634216,11,0,11222
11223,2,石巻線,イシノマキセン,石巻線,Ishinomaki Line,石卷线,이시노마키선,FF8888,ピンク,2,,,,,,,,,,141.2522992,38.48686849,11,0,11223
11224,2,気仙沼線,ケセンヌマセン,気仙沼線,Kesennuma Line,气仙沼线,게센누마선,6600CC,パープル,2,,,,,,,,,,141.4644576,38.69617975,10,0,11224
11225,2,磐越西線(郡山～会津若松),バンエツサイセン,磐越西線(郡山～会津若松),Ban'etsu West Line(Koriyama to Aizuwakamatsu),磐越西线,반에쓰사이선,CB7B35,茶,2,,,,,,,,,,140.1307905,37.51773393,10,0,11225
11226,2,森と水とロマンの鉄道,モリトミズトロマンノテツドウ,磐越西線(森と水とロマンの鉄道),Mori to Mizu to Roman no Tetsudo,磐越西线,반에쓰사이선,CB7B35,茶,2,,,,,,,,,,139.121445,37.800383,9,0,11226
11227,2,只見線,タダミセン,只見線,Tadami Line,只见线 ,다다미선,008DD1,ブルー,2,,,,,,,,,,139.4478074,37.39176462,9,0,11227
11228,2,ゆうゆうあぶくまライン,ユウユウアブクマライン,磐越東線,Yuyu Abukuma Line,磐越东线 ,반에쓰토선,C71585,レッドパープル,2,,,,,,,,,,140.6426123,37.26977724,10,0,11228
11229,2,常磐線(取手～いわき),ジョウバンセン,常磐線(取手～いわき),Joban Line(Toride to Iwaki),常磐线,조반선,007AC0,青,2,JJ,,,00B261,,,SQUARE,,,140.5188744,36.51900406,9,0,11229
11230,2,常磐線(いわき～仙台),ジョウバンセン,常磐線(いわき～仙台),Joban Line(Iwaki to Sendai),常磐线,조반선,007AC0,青,2,,,,,,,,,,140.9334199,37.66155605,9,0,11230
11301,2,東海道本線(東京～熱海),トウカイドウホンセン,東海道本線(東京～熱海),Tokaido Main Line(Tokyo to Atami),东海道本线,도카이도 본선,F68B1E,オレンジ,2,JT,,,F68B1E,,,SQUARE,,,139.4302441,35.39507962,10,0,11301
11302,2,山手線,ヤマノテセン,山手線,Yamanote Line,山手线,야마노테선,80C241,黄緑,2,JY,,,80C241,,,SQUARE,,,139.7352228,35.69302731,12,0,11302
11303,2,南武線,ナンブセン,南武線,Nambu Line,南武线,난부선,FFD400,黄,2,JN,,,FFD400,,,SQUARE,,,139.5621831,35.62126802,11,0,11303
11304,2,鶴見線,ツルミセン,鶴見線,Tsurumi Line,鹤见线,쓰루미선,FFD400,黄,2,JI,,,FFD400,,,SQUARE,,,139.6973422,35.50322702,13,0,11304
11305,2,武蔵野線,ムサシノセン,武蔵野線,Musashino Line,武藏野线,무사시노선,F15A22,朱,2,JM,,,F15A22,,,SQUARE,,,139.7051131,35.80257708,10,0,11305
11306,2,横浜線,ヨコハマセン,横浜線,Yokohama Line,横滨线,요코하마선,80C241,黄緑,2,JH,,,80C241,,,SQUARE,,,139.4711185,35.56100411,11,0,11306
11307,2,根岸線,ネギシセン,根岸線,Negishi Line,根岸线,네기시선,00B2E5,水色,2,JK,,,00B2E5,,,SQUARE,,,139.5986788,35.41484559,12,0,11307
11308,2,横須賀線,ヨコスカセン,横須賀線,Yokosuka Line,横须贺线,요코스카선 ,007AC0,青,2,JO,,,007AC0,,,SQUARE,,,139.6476186,35.48340539,10,0,11308
11309,2,相模線,サガミセン,相模線,Sagami Line,相模线,사가미선,009793,青緑,2,,,,,,,,,,139.3678017,35.48317493,11,0,11309
11311,2,中央本線(東京～塩尻),チュウオウホンセン,中央本線(東京～塩尻),Chuo Line(Tokyo to Shiojiri),中央本线,주오 본선,007AC0,青,2,JC,CO,,F15A22,007AC0,,SQUARE,SQUARE,,138.617358,35.77036734,9,0,11311
11312,2,中央線(快速),チュウオウセン,中央線(快速),Chuo Line(Rapid),中央线快速,츄오 쾌속선,F15A22,朱,2,JC,,,F15A22,,,SQUARE,,,139.5379885,35.70017042,10,0,11312
11313,2,中央・総武線,チュウオウ・ソウブセン,中央・総武緩行線,Chuo-Sobu Line,中央・总武线,주오·소부선,FFD400,黄,2,JB,,,FFD400,,,SQUARE,,,139.8371552,35.70164136,10,0,11313
11314,2,総武本線,ソウブホンセン,総武本線,Sobu Main Line,总武本线,소부 본선,007AC0,青,2,JO,,,007AC0,,,SQUARE,,,140.2546612,35.68790263,9,0,11314
11315,2,青梅線,オウメセン,青梅線,Ome Line,青梅线,오메선,F15A22,朱,2,JC,,,F15A22,,,SQUARE,,,139.2400414,35.78257265,11,0,11315
11316,2,五日市線,イツカイチセン,五日市線,Itsukaichi Line,五日市线,이쓰카이치선,F15A22,朱,2,JC,,,F15A22,,,SQUARE,,,139.2916574,35.72583044,12,0,11316
11317,2,八高線(八王子～高麗川),ハチコウセン,八高線(八王子～高麗川),Hachiko Line(Hachioji to Komagawa),八高线,하치코선,A8A39D,グレー,2,,,,,,,,,,139.3329938,35.78050242,11,0,11317
11318,2,八高線(高麗川～高崎),ハチコウセン,八高線(高麗川～高崎),Hachiko Line(Komagawa to Takasaki),八高线,하치코선,A8A39D,グレー,2,,,,,,,,,,139.1796533,36.12104162,10,0,11318
11319,2,宇都宮線,ウツノミヤセン,東北本線,Utsunomiya Line,宇都宫线,우쓰노미야선,F68B1E,オレンジ,2,JU,,,F68B1E,,,SQUARE,,,139.846403,36.37943924,9,0,11319
11320,2,常磐線(上野～取手),ジョウバンセン,常磐線(上野～取手),Joban Line(Ueno to Toride),常磐线,조반선,00B261,緑,2,JL,JJ,,A2A9B1,00B261,,SQUARE,SQUARE,,139.9238125,35.81971933,11,0,11320
11321,2,埼京線,サイキョウセン,埼京線,Saikyo Line,埼京线,사이쿄선,00B48D,緑,2,JA,,,00B48D,,,SQUARE,,,139.6182015,35.80319582,11,0,11321
11322,2,川越線,カワゴエセン,川越線,Kawagoe Line,川越线,가와고에선,00B48D,緑,2,,,,,,,,,,139.4693426,35.90961046,11,0,11322
11323,2,高崎線,タカサキセン,高崎線,Takasaki Line,高崎线,다카사키선,F68B1E,オレンジ,2,JU,,,F68B1E,,,SQUARE,,,139.4521807,36.09573564,9,0,11323
11324,2,外房線,ソトボウセン,外房線,Sotobo Line,外房线,소토보선,DB4028,レッド,2,,,,,,,,,,140.2798303,35.34873907,10,0,11324
11325,2,内房線,ウチボウセン,内房線,Uchibo Line,内房线,우치보선,00B9F1,スカイブルー,2,,,,,,,,,,139.9480808,35.29328827,9,0,11325
11326,2,京葉線,ケイヨウセン,京葉線,Keiyo Line,京叶线,게이요선,C9242F,赤,2,JE,JM,,C9242F,F15A22,,SQUARE,SQUARE,,139.93611,35.64364962,11,0,11326
11327,2,成田線,ナリタセン,成田線,Narita Line,成田线,나리타선,00B261,緑,2,JO,,,007AC0,,,SQUARE,,,140.3723884,35.86276466,10,0,11327
11328,2,成田エクスプレス,ナリタエクスプレス,成田エクスプレス,Narita Express,成田特快,나리타 익스프레스,F61E21,朱,2,,,,,,,,,,139.7571982,35.69212092,9,3,11328
11329,2,鹿島線,カシマセン,鹿島線,Kashima Line,鹿岛线,가시마선,C56E2E,茶,2,,,,,,,,,,140.5646973,35.94268442,12,0,11329
11330,2,久留里線,クルリセン,久留里線,Kururi Line,久留里线,구루리선,00B5AD,シーグリーン,2,,,,,,,,,,140.0464997,35.3506777,11,0,11330
11331,2,東金線,トウガネセン,東金線,Togane Line,东金线,도가네선,F15A22,オレンジバーミリオン,2,,,,,,,,,,140.3680586,35.56232866,12,0,11331
11332,2,京浜東北線,ケイヒントウホクセン,京浜東北線,Keihin-Tohoku Line,京滨东北线,게이힌 도호쿠선,00B2E5,水色,2,JK,,,00B2E5,,,SQUARE,,,139.6425121,35.63929556,10,0,11332
11333,2,湘南新宿ライン,ショウナンシンジュクライン,湘南新宿ライン,Shonan-Shinjuku Line,湘南新宿线,쇼난 신주쿠 라인,F68B1E,オレンジ,2,JS,,,E31F26,,,SQUARE,,,139.6229437,35.65739974,10,0,11333
11343,2,上野東京ライン,ウエノトウキョウライン,上野東京ライン,Ueno-Tokyo Line,上野东京线,우에노 도쿄 라인,8D2E90,紫,2,JU,,,F68B1E,,,SQUARE,,,139.7721004,35.69745581,14,0,11333
11334,2,烏山線,カラスヤマセン,烏山線,Karasuyama Line,乌山线,가라스야마선,008000,グリーン,2,,,,,,,,,,140.0649785,36.65874003,12,0,11334
11335,2,吾妻線,アヅマセン,吾妻線,Agatsuma Line,吾妻线,아가쓰마선,0F5474,ブルーグリーン,2,,,,,,,,,,138.7913036,36.55204126,10,0,11335
11337,2,信越本線,シンエツホンセン,信越本線,Shin’etsu Main Line,信越本线,신에쓰 본선,9ACD32,イエローグリーン,2,,,,,,,,,,138.8807751,36.33038234,11,0,11337
11338,2,水郡線,スイグンセン,水郡線,Suigun Line,水郡线,스이군선,008000,グリーン,2,,,,,,,,,,140.4621536,36.92204743,9,0,11338
11339,2,水戸線,ミトセン,水戸線,Mito Line,水户线,미토선,3333FF,ブルー,2,,,,,,,,,,140.0513207,36.33356509,10,0,11339
11340,2,日光線,ニッコウセン,日光線,Nikko Line,日光线,닛코선,880022,マルーン,2,,,,,,,,,,139.7529407,36.63614345,11,0,11340
11341,2,両毛線,リョウモウセン,両毛線,Ryomo Line,两毛线,료모선,FFD400,イエロー,2,,,,,,,,,,139.38788,36.35677395,10,0,11341
11342,2,上越線,ジョウエツセン,上越線,Joetsu Line,上越线,조에쓰선,00B3E6,スカイブルー,2,,,,,,,,,,138.8924192,36.9153866,9,0,11342
11401,2,小海線,コウミセン,小海線,Koumi Line,小海线,고우미선,008000,グリーン,2,,,,,,,,,,138.4394812,36.09169709,10,0,11401
11402,3,身延線,ミノブセン,身延線,Minobu Line,身延线,미노부선,6F2D98,パープル,2,CC,,,6F2D98,,,HALF_SQUARE_WITHOUT_ROUND,,,138.532397,35.39216324,10,0,11402
11403,2,信越本線(篠ノ井～長野),シンエツホンセン,信越本線(篠ノ井～長野),Shin’etsu Main Line(Shinonoi to Nagano),信越本线,신에쓰 본선,FFD400,黄,2,,,,,,,,,,138.1598163,36.60859597,12,0,11403
11404,2,信越本線(直江津～新潟),シンエツホンセン,信越本線(直江津～新潟),Shin’etsu Main Line(Naoetsu to Nigata),信越本线,신에쓰 본선,FFD400,黄,2,,,,,,,,,,138.7595452,37.51108174,9,0,11404
